It took 4.01598596572876 seconds to calculate the Mandelbrot graph.
It took 0.10479903221130371 seconds to dump the image.
         1272295 function calls (1250243 primitive calls) in 4.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.004    0.000 text.py:104(__init__)
       42    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      291    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
1381/1233    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      590    0.002    0.000    0.003    0.000 enum.py:390(__setitem__)
        8    0.000    0.000    0.003    0.000 __init__.py:73(import_module)
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.003    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
       24    0.000    0.000    0.003    0.000 ticker.py:2159(_raw_ticks)
        3    0.000    0.000    0.003    0.001 exceptions.py:1(<module>)
      663    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      147    0.000    0.000    0.003    0.000 {built-in method builtins.all}
     2791    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
     7567    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
       22    0.000    0.000    0.003    0.000 typing.py:2761(_make_nmtuple)
       64    0.001    0.000    0.003    0.000 deprecation.py:414(make_keyword_only)
    56/15    0.000    0.000    0.003    0.000 typing.py:1267(__getitem__)
     2445    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
       84    0.000    0.000    0.003    0.000 core.py:4109(<genexpr>)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
      697    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
        4    0.000    0.000    0.003    0.001 axis.py:534(__get__)
        4    0.000    0.000    0.003    0.001 spines.py:142(get_window_extent)
       12    0.000    0.000    0.003    0.000 core.py:1152(parse_string)
        8    0.000    0.000    0.003    0.000 core.py:5842(__init__)
      465    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
     28/7    0.000    0.000    0.003    0.000 core.py:4715(leave_whitespace)
        1    0.000    0.000    0.003    0.003 _internal.py:1(<module>)
        2    0.003    0.001    0.003    0.001 {method 'take' of 'numpy.ndarray' objects}
      599    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
     2445    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     1269    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1798    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
      443    0.000    0.000    0.003    0.000 core.py:526(copy)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
    21660    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.002    0.000 axis.py:1527(get_minorticklocs)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
        1    0.000    0.000    0.002    0.002 legend.py:1(<module>)
      308    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
